Epoch [154/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6710
Epoch [155/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6710
Epoch [156/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6712
Epoch [157/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6709
Epoch [158/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6712
Epoch [159/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6714
Epoch [160/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6711
Epoch [161/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6717
Epoch [162/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6711
Epoch [163/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6717
Epoch [164/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6718
Epoch [165/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6716
Epoch [166/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6718
Epoch [167/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6719
Epoch [168/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6720
Epoch [169/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6719
Epoch [170/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6719
Epoch [171/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6719
Epoch [172/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6719
Epoch [173/200], Train Loss: 0.0204, Val Loss: 0.0220, Val R2: 0.6720
Epoch [174/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6720
Epoch [175/200], Train Loss: 0.0202, Val Loss: 0.0220, Val R2: 0.6720
Epoch [176/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6720
Epoch [177/200], Train Loss: 0.0203, Val Loss: 0.0219, Val R2: 0.6721
Epoch [178/200], Train Loss: 0.0204, Val Loss: 0.0219, Val R2: 0.6721
Epoch [179/200], Train Loss: 0.0204, Val Loss: 0.0219, Val R2: 0.6725
Epoch [180/200], Train Loss: 0.0203, Val Loss: 0.0220, Val R2: 0.6718
Epoch [181/200], Train Loss: 0.0202, Val Loss: 0.0219, Val R2: 0.6727
Epoch [182/200], Train Loss: 0.0203, Val Loss: 0.0219, Val R2: 0.6726
Epoch [183/200], Train Loss: 0.0203, Val Loss: 0.0219, Val R2: 0.6728
Epoch [184/200], Train Loss: 0.0201, Val Loss: 0.0219, Val R2: 0.6730
Epoch [185/200], Train Loss: 0.0202, Val Loss: 0.0219, Val R2: 0.6732
Epoch [186/200], Train Loss: 0.0201, Val Loss: 0.0219, Val R2: 0.6731
Epoch [187/200], Train Loss: 0.0202, Val Loss: 0.0219, Val R2: 0.6733
Epoch [188/200], Train Loss: 0.0201, Val Loss: 0.0219, Val R2: 0.6732
Epoch [189/200], Train Loss: 0.0202, Val Loss: 0.0219, Val R2: 0.6732
Epoch [190/200], Train Loss: 0.0201, Val Loss: 0.0219, Val R2: 0.6733
Epoch [191/200], Train Loss: 0.0202, Val Loss: 0.0219, Val R2: 0.6733
Epoch [192/200], Train Loss: 0.0202, Val Loss: 0.0219, Val R2: 0.6733
Epoch [193/200], Train Loss: 0.0201, Val Loss: 0.0219, Val R2: 0.6733
Epoch [194/200], Train Loss: 0.0201, Val Loss: 0.0219, Val R2: 0.6733
Epoch [195/200], Train Loss: 0.0201, Val Loss: 0.0219, Val R2: 0.6733
Epoch [196/200], Train Loss: 0.0201, Val Loss: 0.0219, Val R2: 0.6735
Epoch [197/200], Train Loss: 0.0202, Val Loss: 0.0219, Val R2: 0.6735
Epoch [198/200], Train Loss: 0.0201, Val Loss: 0.0218, Val R2: 0.6738
Epoch [199/200], Train Loss: 0.0202, Val Loss: 0.0218, Val R2: 0.6738
Epoch [200/200], Train Loss: 0.0201, Val Loss: 0.0218, Val R2: 0.6738
