,network_type,cv,weight_decay,refit,num_train_ksr,num_test_ksr,AUPRC,AUROC,MCC,F1,ACC,TP,TN,FP,FN,train_loss,val_loss,val_r2,activation,drop_p_prior,drop_p_kki,drop_p_ksr
17,weight,0,1e-10,7,96912,24196,0.09050632061436734,0.4912015582354434,-0.013974060339299762,0.04793847708327486,0.8687557311274215,854.0,223682.0,10579.0,23342.0,0.0160572907815759,0.015296573750674725,0.7734459439913431,ReLU0,0,0,0
18,cpd,0,1e-10,8,96912,24196,0.23713435982183587,0.6997522852661469,0.2076823399570787,0.2347103109656301,0.6576263640996503,17926.0,206610.0,110628.0,6270.0,0.01589162590411993,0.015137822677691778,0.7748241722583771,ReLU0,0,0,0
19,weight,0,1e-10,8,96912,24196,0.0902238845894211,0.49130857481114976,-0.014261880161303689,0.04658675507948653,0.8696844461831041,822.0,223714.0,10271.0,23374.0,0.01589162590411993,0.015137822677691778,0.7748241722583771,ReLU0,0,0,0
20,cpd,0,1e-10,9,96912,24196,0.23755633877341056,0.7020423320939623,0.20916254520006503,0.2355189111372857,0.6577612167656812,17996.0,206540.0,110628.0,6200.0,0.01564840506762266,0.015622404559204975,0.7697588404019674,ReLU0,0,0,0
21,weight,0,1e-10,9,96912,24196,0.08971552749690007,0.4912312790565512,-0.014917457502674826,0.045244479945227366,0.8702810809134742,793.0,223743.0,10065.0,23403.0,0.01564840506762266,0.015622404559204975,0.7697588404019674,ReLU0,0,0,0
22,cpd,1,1e-10,,96729,24379,0.21486045551167035,0.6995629082891565,0.21623279320658767,0.2346662138148119,0.6328011104224319,19346.0,198118.0,121156.0,5033.0,0.020503956394699905,0.021138734339425962,0.7044832309087118,ReLU0,0,0,0
23,weight,1,1e-10,,96729,24379,0.11054383369234624,0.4992616782135565,0.23675590552754236,0.20161096914514434,0.529692021395793,24379.0,193085.0,193084.0,0.0,0.020503956394699905,0.021138734339425962,0.7044832309087118,ReLU0,0,0,0
24,cpd,1,1e-10,0,96729,24379,0.21974645300267853,0.6778510445896029,0.2041301302301709,0.24214586255259468,0.6680223878304571,17265.0,200199.0,100956.0,7114.0,0.018863732210145548,0.01809366016338269,0.7429255346457163,ReLU0,0,0,0
25,weight,1,1e-10,0,96729,24379,0.10550924715583085,0.4881346392744958,0.02796854823812371,0.13988559542381696,0.7667334217132542,5380.0,212084.0,47161.0,18999.0,0.018863732210145548,0.01809366016338269,0.7429255346457163,ReLU0,0,0,0
26,cpd,1,1e-10,1,96729,24379,0.2213737838983864,0.6876390532621499,0.21119712487370187,0.24253167969803183,0.6592974818246312,17991.0,199473.0,105990.0,6388.0,0.017149119064784966,0.016733193925271433,0.7758129636446635,ReLU0,0,0,0
27,weight,1,1e-10,1,96729,24379,0.09914444900424865,0.48647120081064676,-0.004330800634025278,0.09049299324528683,0.8282102745543111,2244.0,215220.0,22972.0,22135.0,0.017149119064784966,0.016733193925271433,0.7758129636446635,ReLU0,0,0,0
28,cpd,1,1e-10,2,96729,24379,0.22677359355410573,0.6952027235255922,0.21471764488531472,0.24288809812536033,0.6555669105477829,18327.0,199137.0,108203.0,6052.0,0.01675028124680886,0.015980285747597616,0.7583963970343272,ReLU0,0,0,0
29,weight,1,1e-10,2,96729,24379,0.10094203329021953,0.49091552495287805,-0.0023778412622879642,0.08188200966535972,0.8437339954993405,1796.0,215668.0,17693.0,22583.0,0.01675028124680886,0.015980285747597616,0.7583963970343272,ReLU0,0,0,0
30,cpd,1,1e-10,3,96729,24379,0.2289686156193821,0.6992969333169243,0.21690280257658415,0.24230081009857826,0.651263360596087,18619.0,198845.0,110687.0,5760.0,0.015847758963130988,0.01598067084948222,0.7689476708571116,ReLU0,0,0,0
31,weight,1,1e-10,3,96729,24379,0.10241983021856843,0.4931986587966883,-0.0005128994814210916,0.07744034180564659,0.8512410604892217,1595.0,215869.0,15219.0,22784.0,0.015847758963130988,0.01598067084948222,0.7689476708571116,ReLU0,0,0,0
